Starting audit...
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:87: Line has trailing spaces. [RegexpSingleline]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:90:46: '200' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:90:79: '40' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:93:41: '250' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:93:55: '50' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:152:14: 'public' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:161: Line has trailing spaces. [RegexpSingleline]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:182:15: '50' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:182:19: '500' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:190:33: '0.9f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:191:30: '0.9f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:195:45: '0.9f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:200:33: '1.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:201:30: '1.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:205:45: '1.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:210:33: '1.05f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:211:30: '1.05f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:215:45: '0.9f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:220:33: '0.8f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:221:30: '0.8f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:225:45: '0.8f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:230:24: '350' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:230:30: '50' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:232:22: '1.25f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:239:24: '150' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:239:30: '20' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:241:22: '1.25f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:248:24: '50' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:248:29: '30' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:250:22: '1.25f' is a magic number. [MagicNumber]
